https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
Cc1nc(N)cc(Br)c1Br,CHIKV_Mac-5MCV,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nn1ccc(Br)c(Br)c1=O,CHIKV_Mac-65AC,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C#Cc1c(C)nc(N)c(C)c1CC(N)=O,CHIKV_Mac-WKP3,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1nc(N)ccc1/N=C\NCC(=O)N(C)C,CHIKV_Mac-4MMU,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1nc(N)sc1C(=O)NCC(=O)N(C)C,CHIKV_Mac-5JS4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1c(C)c(N)nc(C)c1Br,CHIKV_Mac-CHCX,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
On1cnc2c(Cl)ccc(Cl)c21,CHIKV_Mac-9GGY,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Clc1ccc2[nH]cnc2c1Cl,CHIKV_Mac-AELD,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1c2ncn(C)c2c(Cl)c2nc[nH]c12,CHIKV_Mac-6RWZ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CN1c2ncn(C)c2[C@@H](O)N2NCN[C@H]12,CHIKV_Mac-64GF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
On1cnc2c(Cl)cccc21,CHIKV_Mac-AJWP,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CN(C)c1cccc2[nH]cnc12,CHIKV_Mac-6UGZ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
OCn1cnc2c(Cl)cccc21,CHIKV_Mac-56JF,Fstein_pures_adenine-2024-04-05-A,,,TRUE
OCCc1cc(Cl)c2nc[nH]c2c1,CHIKV_Mac-6K4Y,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1nc2c(Cl)c(F)ccc2[nH]1,CHIKV_Mac-4GAS,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Clc1cc(Br)cc2[nH]cnc12,CHIKV_Mac-4RA4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1c(CC(N)=O)c(N)c(Cl)c2nc[nH]c12,CHIKV_Mac-DMRF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1ccc2[nH]cnc2c1Cl,CHIKV_Mac-A5EG,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CN(C)C(=O)CNc1cc(Cl)c2nc[nH]c2c1,CHIKV_Mac-59M6,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Clc1cc2nccnc2c2[nH]cnc12,CHIKV_Mac-9UFM,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
