https://fragalysis.diamond.ac.uk/viewer/react/projects/311/278,,,,,
smiles,name,compound_set,red,red-text,blue
O=c1ccccn1Cc1noc(CC[C@@H]2Cc3cc(CO)ccc3O2)n1,CHIKV_Mac-5ZV7,Fstein_pures_others_-2024-04-05-A,TRUE,red,
OC[C@@H]1CCC[C@H]1c1ccc2c(n1)CCCN2,CHIKV_Mac-7UGG,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@H]1c2onc(Cn3ccccc3=O)c2O[C@@]12CC[C@@H]1N[C@H](N)S[C@@H]1C2,CHIKV_Mac-AJHY,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cn1cc(C(N)=O)c([C@@](C)(F)c2nc(Cn3ccccc3=O)no2)n1,CHIKV_Mac-6J97,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1cnc(N)cc1Br,CHIKV_Mac-5EHZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2C[C@@]3(CCN[C@H](CC4CCCCC4)C3=O)CCC2=O)no1,CHIKV_Mac-ARY9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](c1cnc2[nH]ccc2c1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-6NST,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,CHIKV_Mac-6P76,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(CC(N)=O)c1snc(CCc2nc(Cn3ccccc3=O)no2)c1C#N,CHIKV_Mac-9WRT,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2c(NC(=O)c3cscn3)cccc2=O)no1,CHIKV_Mac-94JT,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@H](c1cnc(N)nc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-4X4F,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](c1cnc(N)nc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-4M4V,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-9GM9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
