SMILES,ID,r_i_docking_score,Product,Similarity_to_query,BB,Reaction_name,BB_source,BB_URL,mw,logp,hba,hbd,tpsa,qed,num_rotatable_bonds,fsp3,esol,pka,logd,cns_mpo_score,stoplight_color,plot_color
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](C)c2ccc(CC(C)C)cc2)cs1,enum-016419,-8.03663,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)c2ccc(CC(C)C)cc2)cs1,0.56,CC(C)Cc1ccc(C(C)N)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-07806,424.57,4.399,4,3,86.88,0.501,8,0.348,3.325,2.407,3.592,3.21,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](C)c2ccc(-c3cccnc3)cc2)cs1,enum-034745,-8.03622,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)c2ccc(-c3cccnc3)cc2)cs1,0.51,CC(N)c1ccc(-c2cccnc2)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-98464,445.548,4.263,5,3,99.77,0.396,7,0.167,5.713,4.853,3.123,3.037,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H]2C[C@@H](CNC(=O)OC(C)(C)C)C23CCC3)cs1,enum-040034,-8.02696,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC2CC(CNC(=O)OC(C)(C)C)C23CCC3)cs1,0.48,CC(C)(C)OC(=O)NCC1CC(N)C12CCC2,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-7437784,487.626,3.523,6,4,125.21,0.476,7,0.583,7.792,2.446,3.212,2.221,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](C)c2ccc(-c3ccccc3)cc2)cs1,enum-011189,-8.0267,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](C)c2ccc(-c3ccccc3)cc2)cs1,0.57,C[C@H](N)c1ccc(-c2ccccc2)cc1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-84474,444.56,4.868,4,3,86.88,0.38,7,0.16,0.452,2.466,3.952,2.653,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCCc2c[nH]c3ccc(F)cc23)cs1,enum-038943,-8.01747,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCCc2c[nH]c3ccc(F)cc23)cs1,0.49,Cl.NCCCc1c[nH]c2ccc(F)cc12,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-204722,439.516,3.693,4,4,102.67,0.315,8,0.227,4.423,2.729,2.843,3.242,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](c2ccc(F)c(C#N)c2)C(C)C)cs1,enum-031995,-8.01719,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(c2ccc(F)c(C#N)c2)C(C)C)cs1,0.51,CC(C)C(N)c1ccc(F)c(C#N)c1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-331607,439.516,3.848,5,3,110.67,0.519,7,0.273,5.105,2.368,3.073,2.949,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@]2(F)C[C@@H](CNC(=O)OC(C)(C)C)C2)cs1,enum-031211,-8.01557,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@]2(F)C[C@@H](CNC(=O)OC(C)(C)C)C2)cs1,0.51,CC(C)(C)OC(=O)NC[C@H]1C[C@](F)(CN)C1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-7430021,479.578,3.082,6,4,125.21,0.463,8,0.545,31.209,2.428,2.177,3.016,red,red
COC(=O)[C@H](NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1ccc(F)cc1F,enum-020554,-8.0145,COC(=O)C(NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1ccc(F)cc1F,0.54,COC(=O)C(N)c1ccc(F)cc1F.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-26258650,448.451,2.632,6,3,113.18,0.481,7,0.2,56.574,2.367,2.63,3.447,yellow,gold
COc1ccc2c(c1)CC[C@@]2(O)CNC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,enum-037349,-8.00394,COc1ccc2c(c1)CCC2(O)CNC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,0.49,COc1ccc2c(c1)CCC2(O)CN,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1229325,440.525,2.282,6,4,116.34,0.45,7,0.318,98.334,2.377,1.905,3.547,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](CO)c2ccc(C(C)(C)C)cc2)cs1,enum-014942,-8.00206,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(CO)c2ccc(C(C)(C)C)cc2)cs1,0.56,CC(C)(C)c1ccc(C(N)CO)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1835872,440.569,3.471,5,4,107.11,0.451,7,0.348,13.523,2.403,3.008,3.115,yellow,gold
